Pad Number,Layer,Center X,Center Y,Rotation,Shape,Width,Height
A1,B,0.0,0.0,0,Round,0.249,0.249
A2,B,0.4,0.0,0,Round,0.249,0.249
A3,B,0.8,0.0,0,Round,0.249,0.249
A4,B,1.2,0.0,0,Round,0.249,0.249
A5,B,1.6,0.0,0,Round,0.249,0.249
A6,B,2.0,0.0,0,Round,0.249,0.249
A7,B,2.4,0.0,0,Round,0.249,0.249
B1,B,0.0,0.4,0,Round,0.249,0.249
B2,B,0.4,0.4,0,Round,0.249,0.249
B3,B,0.8,0.4,0,Round,0.249,0.249
B4,B,1.2,0.4,0,Round,0.249,0.249
B5,B,1.6,0.4,0,Round,0.249,0.249
B6,B,2.0,0.4,0,Round,0.249,0.249
B7,B,2.4,0.4,0,Round,0.249,0.249
C1,B,0.0,0.8,0,Round,0.249,0.249
C2,B,0.4,0.8,0,Round,0.249,0.249
C3,B,0.8,0.8,0,Round,0.249,0.249
C4,B,1.2,0.8,0,Round,0.249,0.249
C5,B,1.6,0.8,0,Round,0.249,0.249
C6,B,2.0,0.8,0,Round,0.249,0.249
C7,B,2.4,0.8,0,Round,0.249,0.249
D1,B,0.0,1.2,0,Round,0.249,0.249
D2,B,0.4,1.2,0,Round,0.249,0.249
D3,B,0.8,1.2,0,Round,0.249,0.249
D4,B,1.2,1.2,0,Round,0.249,0.249
D5,B,1.6,1.2,0,Round,0.249,0.249
D6,B,2.0,1.2,0,Round,0.249,0.249
D7,B,2.4,1.2,0,Round,0.249,0.249
E1,B,0.0,1.6,0,Round,0.249,0.249
E2,B,0.4,1.6,0,Round,0.249,0.249
E3,B,0.8,1.6,0,Round,0.249,0.249
E4,B,1.2,1.6,0,Round,0.249,0.249
E5,B,1.6,1.6,0,Round,0.249,0.249
E6,B,2.0,1.6,0,Round,0.249,0.249
E7,B,2.4,1.6,0,Round,0.249,0.249
F1,B,0.0,2.0,0,Round,0.249,0.249
F2,B,0.4,2.0,0,Round,0.249,0.249
F3,B,0.8,2.0,0,Round,0.249,0.249
F4,B,1.2,2.0,0,Round,0.249,0.249
F5,B,1.6,2.0,0,Round,0.249,0.249
F6,B,2.0,2.0,0,Round,0.249,0.249
F7,B,2.4,2.0,0,Round,0.249,0.249
G1,B,0.0,2.4,0,Round,0.249,0.249
G2,B,0.4,2.4,0,Round,0.249,0.249
G3,B,0.8,2.4,0,Round,0.249,0.249
G4,B,1.2,2.4,0,Round,0.249,0.249
G5,B,1.6,2.4,0,Round,0.249,0.249
G6,B,2.0,2.4,0,Round,0.249,0.249
G7,B,2.4,2.4,0,Round,0.249,0.249
H1,B,0.0,2.8,0,Round,0.249,0.249
H2,B,0.4,2.8,0,Round,0.249,0.249
H3,B,0.8,2.8,0,Round,0.249,0.249
H4,B,1.2,2.8,0,Round,0.249,0.249
H5,B,1.6,2.8,0,Round,0.249,0.249
H6,B,2.0,2.8,0,Round,0.249,0.249
H7,B,2.4,2.8,0,Round,0.249,0.249
J1,B,0.0,3.2,0,Round,0.249,0.249
J2,B,0.4,3.2,0,Round,0.249,0.249
J3,B,0.8,3.2,0,Round,0.249,0.249
J4,B,1.2,3.2,0,Round,0.249,0.249
J5,B,1.6,3.2,0,Round,0.249,0.249
J6,B,2.0,3.2,0,Round,0.249,0.249
J7,B,2.4,3.2,0,Round,0.249,0.249
K1,B,0.0,3.6,0,Round,0.249,0.249
K2,B,0.4,3.6,0,Round,0.249,0.249
K3,B,0.8,3.6,0,Round,0.249,0.249
K4,B,1.2,3.6,0,Round,0.249,0.249
K5,B,1.6,3.6,0,Round,0.249,0.249
K6,B,2.0,3.6,0,Round,0.249,0.249
K7,B,2.4,3.6,0,Round,0.249,0.249
L1,B,0.0,4.0,0,Round,0.249,0.249
L2,B,0.4,4.0,0,Round,0.249,0.249
L3,B,0.8,4.0,0,Round,0.249,0.249
L4,B,1.2,4.0,0,Round,0.249,0.249
L5,B,1.6,4.0,0,Round,0.249,0.249
L6,B,2.0,4.0,0,Round,0.249,0.249
L7,B,2.4,4.0,0,Round,0.249,0.249
