Part,Pin Number,Pin Name,Side,Order,Pin Type,Pin Shape
ADAU1797.1,A1,IOVDD,L,1,Power,None
ADAU1797.1,A2,QSPIM_SDIO_0/MP18,L,2,Input,None
ADAU1797.1,A3,DVDD,L,3,Power,None
ADAU1797.1,A4,DGND,L,4,Ground,None
ADAU1797.1,A5,BCLK_1/MP6,L,5,Input,None
ADAU1797.1,A6,FSYNC_1/MP7,L,6,Input,None
ADAU1797.1,A7,IOVDD,L,7,Power,None
ADAU1797.1,B1,SDA0/MISO,L,8,Input,None
ADAU1797.1,B2,SDA1,L,9,Input,None
ADAU1797.1,B3,QSPIM_SDIO_2/MP20,L,10,Input,None
ADAU1797.1,B4,QSPIM_CLK/MP15,L,11,Input,None
ADAU1797.1,B5,SDATAI_1/MP5,L,12,Input,None
ADAU1797.1,B6,SDATAO_1/MP4,L,13,Output,None
ADAU1797.1,B7,XTALI/MCLKIN,L,14,Input,None
ADAU1797.1,C1,SCL0/SCLK,L,15,Input,None
ADAU1797.1,C2,SCL1,L,16,Output,None
ADAU1797.1,C3,QSPIM_SDIO_3/MP21,L,17,Input,None
ADAU1797.1,C4,QSPIM_SDIO_1/MP19,L,18,Input,None
ADAU1797.1,C5,QSPIM_CS0/MP16,L,19,Input,None
ADAU1797.1,C6,DMIC01/MP8,L,20,Input,None
ADAU1797.1,C7,XTALO,L,21,Output,None
ADAU1797.1,D1,UART_RX/MP28,L,22,Input,None
ADAU1797.1,D2,UART_RTS/MP29,L,23,Output,None
ADAU1797.1,D3,ADDR0/SS,L,24,Input,None
ADAU1797.1,D4,QSPIM_CS1/MP17,L,25,Input,None
ADAU1797.1,D5,DMIC45/MP10,L,26,Input,None
ADAU1797.1,D6,DMIC23/MP9,L,27,Input,None
ADAU1797.1,D7,DMIC_CLK0/MP13,L,28,Output,None
ADAU1797.1,E1,DGND,L,29,Ground,None
ADAU1797.1,E2,UART_TX/MP27,L,30,Output,None
ADAU1797.1,E3,UART_CTS/MP30,L,31,Input,None
ADAU1797.1,E4,DMIC67/MP11,L,32,Input,None
ADAU1797.1,E5,SDATAO_0/MP0,L,33,Output,None
ADAU1797.1,E6,DMIC_CLK1/MP14,L,34,Output,None
ADAU1797.1,E7,DGND,L,35,Ground,None
ADAU1797.1,F1,DVDD,L,36,Power,None
ADAU1797.1,F2,SELFBOOT/MP31,L,37,Input,None
ADAU1797.1,F3,ADDR1/MOSI,L,38,Input,None
ADAU1797.1,F4,DMIC89/MP12,L,39,Input,None
ADAU1797.1,F5,SDATAI_0/MP1,L,40,Input,None
ADAU1797.1,F6,FSYNC_0/MP3,L,41,Input,None
ADAU1797.1,F7,DVDD,L,42,Power,None
ADAU1797.1,G1,CP2+,L,43,Output,None
ADAU1797.1,G2,CP2-,L,44,Output,None
ADAU1797.1,G3,PD,L,45,Input,None
ADAU1797.1,G4,I.C.,L,46,Ground,None
ADAU1797.1,G5,JTAG_TDI/MP25,L,47,Input,None
ADAU1797.1,G6,JTAG_TMS/MP23,L,48,Input,None
ADAU1797.1,G7,BCLK_0/MP2,L,49,Input,None
ADAU1797.1,H1,HPVDD,L,50,Power,None
ADAU1797.1,H2,CP1+,L,51,Power,None
ADAU1797.1,H3,CP1-,L,52,Power,None
ADAU1797.1,H4,DGND,L,53,Ground,None
ADAU1797.1,H5,JTAG_TDO/MP26,L,54,Output,None
ADAU1797.1,H6,JTAG_TRST/MP22,L,55,Input,None
ADAU1797.1,H7,JTAG_TCK/MP24,L,56,Input,None
ADAU1797.1,J1,HPOUT-,L,57,Output,None
ADAU1797.1,J2,FB_HPOUT-,L,58,Input,None
ADAU1797.1,J3,REG_EN,L,59,Input,None
ADAU1797.1,J4,I.C.,L,60,DNC,None
ADAU1797.1,J5,I.C.,L,61,Ground,None
ADAU1797.1,J6,I.C.,L,62,DNC,None
ADAU1797.1,J7,AGND,L,63,Ground,None
ADAU1797.1,K1,HPVDD,L,64,Power,None
ADAU1797.1,K2,FB_HPOUT+,L,65,Input,None
ADAU1797.1,K3,AGND,L,66,Ground,None
ADAU1797.1,K4,AIN2+,L,67,Input,None
ADAU1797.1,K5,AIN1-,L,68,Input,None
ADAU1797.1,K6,AIN1+,L,69,Input,None
ADAU1797.1,K7,AVDD,L,70,Power,None
ADAU1797.1,L1,HPOUT+,L,71,Output,None
ADAU1797.1,L2,HPGND,L,72,Ground,None
ADAU1797.1,L3,AVDD,L,73,Power,None
ADAU1797.1,L4,AIN2-,L,74,Input,None
ADAU1797.1,L5,CM,L,75,Output,None
ADAU1797.1,L6,AIN0-,L,76,Input,None
ADAU1797.1,L7,AIN0+,L,77,Input,None
